,logL_agn,logL_ir,logL_ir_elow,logL_ir_eup,ul
0,45.96848295,45.32221929,0.059768205,0.052529051,1
1,46.16435286,45.25042,0.098131658,0.079993771,1
2,46.28780173,45.69372695,0.04830468,0.043465694,1
3,46.372912,45.60205999,0.059234564,0.139091608,1
4,46.44090908,45.52633928,0.240781968,0.149439064,1
5,46.50650503,45.60638137,0.215446258,0.140252834,1
6,46.56229286,45.42651126,0.20379479,0.157819963,1
7,46.61489722,45.25767857,0.084492306,0.070701029,1
8,46.66651798,45.5797836,0.223757739,0.15820373,1
9,46.73399929,45.71516736,0.113107367,0.105690632,1
10,46.80617997,45.83569057,0.055373259,0.152868385,1
11,46.89652622,45.77305469,0.062091574,0.05431458,1
12,47,45.67577834,0.071552289,0.15991223,1
13,47.25527251,45.9459607,0.041786335,0.177564277,1
