,ID,logL_agn,logL_ir,logL_ir_elow,logL_ir_eup,ul
0,SDSSJ073502.30+265911.5,47.65,46.55,0,0,1
1,SDSSJ212329.46-005052.9,47.71,46.27,0,0,1
2,SDSSJ125005.72+263107.5,47.92,46.21,0,0,0
