,ID,logSFR,logSFR_e,z,ul
0,B0018-0220a,3.5304947,0.10353303,2.56,1
1,B0035+4405a,3.2597287,0.10254526,2.71,1
2,B0211+1858 ,3.1511912,0.104118824,2.47,1
3,B0810+2554b,3.2157872,0.11019659,1.5,1
4,B0943+3155 ,3.2644014,0.10201573,2.79,1
5,B1140+2711 ,3.2255683,0.1030736,2.63,1
6,B1141+4201 ,3.2525575,0.10636544,2.12,1
7,B1310+4308 ,3.2927425,0.103270054,2.6,1
8,B1337+2123 ,3.1196682,0.10261178,2.7,1
