,ID,logSFR,logSFR_e,z,ul
0,001121.86-000918.6,3.3374984,0.100754976,3.009,1
1,010752.52+012336.9,2.9953086,0.0972476,3.525,1
2,012700.69-004559.1,3.0015395,0.09317231,4.105,1
3,015017.70+002902.4,3.1912625,0.10081506,3,1
4,235238.08+010552.3,2.9002888,0.106309414,2.153,1
